ID,Language_ID,Headword,Part_Of_Speech,Derivational_Root,Irregular_Plural,Irregular_Possessed_Form,Literal_Meaning,Loanword_Source,Main_Entry,Middle_Form,Pronunciation,Root,Semantics_Note,Variant_Form
LX000001,iqu,ajákumatáani,intransitive verb,,,,,,,,,ajákumata,,
LX000002,iqu,ajákumɨ́ɨni,intransitive verb,,,,,,,ajákumɨ́ɨni (active),,ajákumɨ,,
LX000003,iqu,ajákumɨ́ɨni,transitive verb,,,,,,,ajákumɨ́ɨni (middle),,ajákumɨɨ,,
LX000004,iqu,ájakuusiijáani,transitive verb,,,,,,,,,ájakuusiíja,,
LX000005,iqu,ajakuusíini,intransitive verb,,,,,,,,,ajakuúsi,,
LX000006,iqu,ájana,noun,,,,,,,,,ájana,,
LX000007,iqu,ájana,noun,,,,,,,,,ájana,,
LX000008,iqu,ajánaari,noun,,ajánaariwa,,,,,,,ajánaari,,
LX000009,iqu,ajanɨ́ɨni,intransitive verb,,,,,,,,,ajánɨɨ,,
ajapaka,iqu,ajapaka,noun,,ajapakɨ́ɨya,,,,,,,ajapaka,,
LX000010,iqu,ajapakɨ́ɨni,noun,,ajapakɨ́ɨya,,,,,,,ajapakɨ́ɨni,,sociolinguistic variant: japakɨ́ɨni
LX000011,iqu,ajapakɨ́ɨya,noun,,,,,,LX000010 ; ajapaka,,,ajapakɨ́ɨya,,
LX000012,iqu,ajarakuutáani,intransitive verb,,,,,,,,,ajarakuúta,,
ajaruuja,iqu,ajaruuja,noun,,,,,,,,,ajaruuja,,
LX000013,iqu,ajatatɨ́ɨni,intransitive verb,,,,,,,,,ajatátɨɨ,,personal variant (JPI): ajatɨtɨ́ɨni ; Free Variant: ikatɨ́ɨni ; Free Variant: isitɨ́ɨni
LX000014,iqu,ajatáani,intransitive verb,,,,,,,,,ajáta,,
LX000015,iqu,ajátaari,noun,,,,,,,,,ajátaari,,
LX000016,iqu,ajatɨtɨ́ɨni,intransitive verb,,,,,,LX000013,,,ajatɨ́tɨɨ,,
LX000017,iqu,ajáaja,noun,,,,,,,,,ajáaja,,
ajaana,iqu,ajaana,noun,,,,,,,,,ajaana,,Nanay dialect: yaana2
LX000018,iqu,ájaana yaawɨ́ɨni,noun,,,,strong sun day,,,,,ájaana yaawɨ́ɨni,,
LX000019,iqu,ajáani,transitive verb,,,,,,,,,ája,,
aji,iqu,aji,noun,,ajipɨ,,,,,,,aji,,irregular 3rd person possessed form: naji
LX000020,iqu,ájika,noun,,,,,,,,,ájika,"The various kinds of fork that this term encompasses are distinguished by specifying the relevant possessor (e.g., <amakɨ ájika> for the fork in a path)",irregular 3rd person possessed form: nájika
LX000021,iqu,ajíkatáani,transitive verb,,,,,,,,,ajíkata,,
LX000022,iqu,ajíkaasi,noun,,,,,,awasi,,,ajíkaasi,,
LX000023,iqu,ajikɨ́ɨni,intransitive verb,,,,,,,,,ajíkɨɨ,,
LX000024,iqu,ajirákana,noun,,ajirákaka,,,,,,,ajirákana,,dialect variant: nasíkana ; dialect variant: ijirákana
LX000025,iqu,ajírataaja,noun,,,,,,,,,ajírataaja,,personal variant (HDC): ajíritaaja ; Free Variant: máasu
LX000026,iqu,ajiraakíini,transitive verb,,,,,,,,,ajiraákii,,
LX000027,iqu,ajiráani,transitive verb,ajíra,,,,,,,,ájiita,,dialect variant: ijiráani1
LX000028,iqu,ajiráani,intransitive verb,ajíra,,,,,,,,ájiita,,dialect variant: ijiráani2
LX000029,iqu,ajíritaaja,noun,,,,,,LX000025,,,ajíritaaja,,
LX000030,iqu,ajirɨna,noun,,,ajírɨna,,,,,,ajirɨna,,dialect variant: ijirɨna
LX000031,iqu,ajirɨ́ɨni,intransitive verb,ajírɨ,,,,,,,,ajiítɨ,,dialect variant: ijirɨ́ɨni
LX000032,iqu,ajíini,transitive verb,,,,,,,,,ájii,,
ajuuka,iqu,ajuuka,noun,,,ájuuka,,,,,,ajuuka,,
LX000033,iqu,ájuukwaasi,noun,,,,,,,,,ájuukwaasi,,irregular 3rd person possessed form: nájuukwaasi
LX000034,iqu,akájinakɨya,noun,,,,,,LX000035,,,akájinakɨya,,
LX000035,iqu,akájinaku,locative noun,,akájinakɨya,,,,,,,akájina,,irregular 3rd person possessed form: nakájinaku
LX000036,iqu,akájinaku,noun,,,,,,,,,akájinaku,,
LX000037,iqu,=akájinaku,locative postposition,,,,,,,,,akájinaku,,
LX000038,iqu,=akájinakúura,postposition,,,,,,,,,akájinakúura,,
LX000039,iqu,akájinakuúraji,noun,,akájinakɨya,,,,,,,akájinakuúraji,,irregular 3rd person possessed form: nakájinakuúraji
LX000040,iqu,=akájinakuúraji,postposition,,,,,,,,,akájinakuúraji,,
LX000041,iqu,akájinaaja,noun,,,,,,,,,akájinaaja,,irregular 3rd person possessed form: nakájinaaja
LX000042,iqu,akajiyúuki,noun,,akajiyuúkiwa,,,,,,,akajiyúuki,,irregular 3rd person possessed form: nakajiyúuki
akami,iqu,akami,adverb,,,,,,,,,akami,,
LX000043,iqu,akánataaja,noun,,,,,,,,,akánataaja,,irregular 3rd person possessed form: nakánataaja ; Free Variant: kuuraasuu
LX000044,iqu,akásima,noun,,,,,,LX000045,,,akásima,,
LX000045,iqu,akásimɨ,noun,,akásimɨya,,,,,,,akásimɨ,,irregular 3rd person possessed form: nakásimɨ ; personal variant (JPI): akásima
LX000046,iqu,akasiitáani,intransitive verb,,,,,,,,,akasiita,,
LX000047,iqu,akasɨyɨ,noun,,akasɨyuwa,akásɨyɨ,,,,,,akasɨyɨ,,
LX000048,iqu,akasɨyuwa,noun,,,,,,LX000047,,,akasɨyuwa,,
LX000049,iqu,ákati,noun,,,,,,,,,ákati,,irregular 3rd person possessed form: nákati
aki,iqu,aki,noun,,,,,,,,,aki,"In this sense, the plural form is most commonly used, even when referring to what could be construed as a single branch",irregular 3rd person possessed form: naki2
LX000050,iqu,akíkatáani,transitive verb,,,,,,,akíkatɨ́ɨni (middle),,akíkata,,
LX000051,iqu,akíkatina,adjective,,,,,,,,,akíkati,,
LX000052,iqu,akíkatɨ́ɨni,intransitive verb,,,,,,,akikatáani (active),,akíkatɨ,,
LX000053,iqu,akikɨ́ɨni,intransitive verb,,,,,,,,,akíkɨɨ,,
LX000054,iqu,akíraja,noun,,,,,,,,,akíraja,,
LX000055,iqu,akíraja naaki,noun,,,,wind egg,,LX001321,,,akíraja naaki,,
LX000056,iqu,akirajɨ́ɨni,intransitive verb,,,,,,,,,akirájɨɨ,,
LX000057,iqu,akirajɨɨtáani,intransitive verb,,,,,,,,,akirajɨɨ́ta,,
LX000058,iqu,akiriítajina,locative noun,,akiriítakajina,,,,,,,akiriíta,,personal variant (HDC): akirɨɨ́tajina
LX000059,iqu,akirɨɨ́tajina,locative noun,,akirɨɨ́takajina,,,,LX000058,,,akirɨɨ́ta,,
LX000060,iqu,akɨ,noun,,akɨ́waaka,,,,,,,akɨ,,irregular 3rd person possessed form: nakɨ
LX000061,iqu,akɨríija,interjection,,,,,,,,,akɨríija,,
LX000062,iqu,akɨriíjanii,interjection,,,,,,,,,akɨriíjanii,,
LX000063,iqu,akɨsíini,noun,,akɨsíiya,,,,,,,akɨsíini,,
LX000064,iqu,akɨsíiya,noun,,,,,,LX000063,,,akɨsíiya,,
LX000065,iqu,ákɨɨ,interjection,,,,,,,,,ákɨɨ,,
LX000066,iqu,ákuma,noun,,akúmawaaka,,,,,,,ákuma,,irregular 3rd person possessed form: nákuma
LX000067,iqu,akúmari,noun,,akúmariwa,,,,,,,akúmari,,irregular 3rd person possessed form: nakúmari
LX000068,iqu,akumaríini,transitive verb,,,,,,,,,akumárii,,
LX000069,iqu,akúmaaja,noun,,akúmaajawaaka,,,,,,,akúmaaja,,
LX000070,iqu,akumíyaaka,noun,,,,,,,,,akumíyaaka,,
LX000071,iqu,akumíini,transitive verb,akúmi,,,,,,,,akuúmi,,
LX000072,iqu,akúmiiti,noun,,akúmiitiwaaka,,,,,,,akúmiiti,,irregular 3rd person possessed form: nakúmiiti
LX000073,iqu,akumiitíini,transitive verb,,,,,,,,,akumiítii,,
LX000074,iqu,akúmɨɨsana,noun,,akúmɨɨsanawaaka,,,,,,,akúmɨɨsana,,irregular 3rd person possessed form: nakúmɨɨsana
LX000075,iqu,akusakáani,noun,,aákusaka,,,,,,,akusakáani,,Free Variant: akusaníini
LX000076,iqu,akusaníini,noun,,aákusaka,,,,LX000075,,,akusaníini,,
akusi,iqu,akusi,noun,,,ákusi,,,,,,akusi,,irregular 3rd person possessed form: nákusi
akutuuyuukami,iqu,akutuuyuukami,noun,,"akutuuyuukamiwa, akutuuyuukamika",,,,,,,akutuuyuukami,,
LX000077,iqu,akúumi,noun,,"akuúmiya, akuúmiwaaka",,,,,,,akúumi,,irregular 3rd person possessed form: nakúumi
LX000078,iqu,akuumíini,transitive verb,,,,,,,,,akuúmii,,
amaki,iqu,amaki,noun,,,ámaki,,,,,,amaki,,irregular 3rd person possessed form: námaki
LX000079,iqu,amakɨ,noun,,amakɨya,,,,,,,amakɨ,"This term contrasts with the similarly glossed <[niíkuma](LX002236)> in that it denotes the cleared spatial region that constitutes the path, while <[niíkuma](LX002236)> denotes a directed path trajectory",
LX000080,iqu,amákɨjina,locative noun,,,,,,,,,amákɨ,,irregular 3rd person possessed form: namákɨjina
LX000081,iqu,amákɨɨja,noun,,"amákɨɨya, amákɨɨjaka",,,,,,,amákɨɨja,,Chambira dialect: mákɨɨja
LX000082,iqu,amákɨɨja,noun,,,,,,LX000083,,,amákɨɨja,,
LX000083,iqu,amákɨɨja áaku,noun,,,,empty crab shell,,,,amákɨɨjáaku,amákɨɨja áaku,,Free Variant: amákɨɨja2
LX000084,iqu,amakɨ́ɨni,ambitransitive verb,,,,,,,,,amákɨɨ,,
LX000085,iqu,amakɨ́ɨra,postposition,,,,,,,,,amakɨ́ɨra,,
LX000086,iqu,amakɨɨtáani,transitive verb,,,,,,,,,amakɨɨ́ta,,
LX000087,iqu,amánaati,noun,,,,,,,,,amánaati,,
LX000088,iqu,amaniijúuni,transitive verb,,,,,,,,,amaniíjuu,,
LX000089,iqu,amaniijúuni,intransitive verb,,,,,,,,,amaniíjuu,,
