ID,Description,Entry_ID,Anthropology_Note,Grammar_Note,Scientific_Name,Sociolinguistics_Note
SN000001,orient one’s head so that one’s face points towards the ground,LX000001,,,,
SN000002,"lie on one's front, lie face down",LX000002,,,,
SN000003,"lie mouth down, speaking of vessel-like objects, and especially pots and bowls",LX000002,,,,
SN000004,"put or place a vessel-like object mouth down, e.g., a cooking pot",LX000003,,,,
SN000005,"damage, break, or ruin something that is construed as performing some function, e.g., a body part, motor, or radio, so that it no longer functions properly",LX000004,,,,
SN000006,"ruin a person’s life, e.g., by creating acrimony in their household, by stealing their spouse, or by making it impossible for them to earn a livelihood",LX000004,,,,
SN000007,"become damaged, broken, or ruined, speaking of something that is construed as performing a function, e.g., a body part, radio, or motor, such that it can no longer properly perform its function",LX000005,,,,
SN000008,"name applied to two distinct unidentified tree species with similar leaves: ‘sandilla caspi’, also called ‘ratón caspi’, and ‘batán caspi’. ‘Sandilla caspi’ grows to 20cm in diameter and is known for tending to have cavities where branches have broken off, which are often inhabited by forest rats (hence its other name, ‘ratón caspi’); its wood is known for being unusually durable in contact with moisture, and is thus valued for use as bridge supports and for making shelters where poles must be placed in moist ground. The second species, ‘batán caspi’, grows to 80cm in diameter, and has relatively soft wood surrounding a red heartwood core; this heartwood was traditionally used for making mashing troughs, <[ájana](LX000007)>",LX000006,,,,
SN000009,"‘batán’, a type of wooden trough used for mashing cooked manioc and other foods, typically some 2-3m in length and some 3cm in thickness; the troughs traditionally made by the Iquitos had open ends, so that they could easily be sluiced clean",LX000007,,,,
SN000010,"‘mashing trough’ style of weaving <[iitaari](iitaari)> (‘crisneja’) thatch panels, in which the <[ijáwɨɨmɨ](LX000562)> (‘irapay’) palm frond stems are knotted over the palm wood lath in a way that creates running edges along the lath, and a resulting concavity along the center of the lath, reminiscent of a mashing trough, <[ájana](LX000007)>",LX000008,,,,
SN000011,"make an <[ájana](LX000007)> (‘batán’), or mashing trough",LX000009,,,,
SN000012,"wasp; general term for wasps. Significantly this term refers to both the insect and its nest, in contrast to <[ajapakɨ́ɨni](LX000010)> which refers to the insect only",ajapaka,,,,
SN000013,"wasp; general term for wasps. Significantly, this term refers specifically to the insect, and not its nest, in contrast to <[ajapaka](ajapaka)>, which refers to both the insect and its nest",LX000010,,,,
SN000014,wasp (plural),LX000011,,,,
SN000015,"be on hands and knees, be on all fours",LX000012,,"When bearing the associated motion suffix <-sawɨɨ> (arrive and do), the stem is interpreted as ‘fall on one’s hands and knees’, e.g., catching oneself to avoid hitting the ground with one’s face when falling",,
SN000016,tadpole,ajaruuja,,,,
SN000017,"land, speaking of a canoe or boat reaching the edge or shore of a body of water",LX000013,,,,
SN000018,"alight or land, speaking of a bird alighting to perch on something, typically a branch",LX000013,,,,
